DataType,SessionID,Delivery,ParticipantID,Progress_Progress,Duration_in_seconds_Duration_in_seconds,Finished_Finished,Q31_I_consent_to_the_University_processing_my_personal_data_for_the_purposes_detailed_above,Q4_Age,Q5_Specialisation,Q8_Stage_of_training__position,Q7_Gender,NFC1_I_would_prefer_complex_to_simple_problems,NFC2_I_like_to_have_the_responsibility_of_handling_a_situation_that_requires_a_lot_of_thinking,NFC3r_Thinking_is_not_my_idea_of_fun,NFC4r_I_would_rather_do_something_that_requires_little_thought_than_something_that_is_sure_to_challenge_my_thinking_abilities,NFC5_I_really_enjoy_a_task_that_involves_coming_up_with_new_solutions_to_problems,NFC6_I_would_prefer_a_task_that_is_intellectual_difficult_and_important_to_one_that_is_somewhat_important_but_does_not_require_much_thought,ExAnSt1_Given_your_current_understanding_how_optimistic_are_you_about_improvement_in_symptoms_in_patients_presenting_with_anxiety_disorder,ExAnSt2_Given_your_current_understanding_how_willing_do_you_think_patients_would_be_to_share_anxiety_disorder_diagnoses,ExAnSt3_Given_your_current_understanding_how_effective_do_you_think_a_combination_of_medication_and_psychotherapy_will_be_to_improve_outcomes_in_anxiety_disorder,ExAnSt4_Given_your_current_understanding_how_effective_do_you_think_psychosocial_interventions_will_be_in_improving_outcomes_in_anxiety_disorder,ExAnSt5_Given_your_current_understanding_how_strong_a_role_do_individuals_have_to_instigate_or_mitigate_their_anxiety,ExAnSt6_Given_your_current_understanding_how_unchangeable_are_an_individuals_anxiety_symptoms,ExAnSt7_Given_your_current_understanding_how_deeply_do_you_feel_you_understand_anxiety_disorders,ExAnSt8_Given_current_public_knowledge_of_anxiety_how_willing_do_you_think_people_are_to_seek_psychiatric_help_for_anxiety,Attention1_If_you_are_paying_attention_to_this_questionnaire_please_select_option_2,EBQ1_Once_people_are_experiencing_negative_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ2_People_cannot_control_their_positive_emotions,EBQ3_There_is_very_little_use_for_negative_emotions,EBQ4_Positive_emotions_are_very_unhelpful_to_people,EBQ5_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_negative_emotions,EBQ6_People_cannot_learn_techniques_to_effectively_control_their_positive_emotions,EBQ7_People_dont_need_their_negative_emotions,EBQ8_There_is_very_little_use_for_positive_emotions,EBQ9_People_cannot_control_their_negative_emotions,EBQ10_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_positive_emotions,EBQ11_Negative_emotions_are_harmful,EBQ12_People_dont_need_their_positive_emotions,EBQ13_People_cannot_learn_techniques_to_effectively_control_their_negative_emotions,EBQ14_Once_people_are_experiencing_positive_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ15_The_presence_of_negative_emotions_is_a_bad_thing_for_people,EBQ16_Positive_emotions_are_harmful,password_continue_Please_enter_the_password_here,Q38_How_would_you_rate_your_comprehension_of_the_presentation,Q88_Do_you_think_this_information_is_useful_for_patients,Q90_Do_you_think_this_information_is_useful_for_clinicians,ExAnSt21_Given_the_information_provided_in_this_education_session_how_optimistic_are_you_about_improvement_in_symptoms_in_patients_presenting_with_anxiety_disorder,ExAnSt22_Given_the_information_provided_in_this_education_session_how_willing_do_you_think_patients_would_be_to_share_anxiety_disorder_diagnoses,ExAnSt23_Given_the_information_provided_in_this_education_session_how_effective_do_you_think_a_combination_of_medication_and_psychotherapy_will_be_to_improve_outcomes_in_anxiety_disorder,ExAnSt24_Given_the_information_provided_in_this_education_session_how_effective_do_you_think_psychosocial_interventions_will_be_in_improving_outcomes_in_anxiety_disorder,ExAnSt25_Given_the_information_provided_in_this_education_session_how_strong_a_role_do_individuals_have_to_instigate_or_mitigate_their_anxiety,ExAnSt26_Given_the_information_provided_in_this_education_session_how_unchangeable_are_an_individuals_anxiety_symptoms,ExAnSt27_Given_the_information_provided_in_this_education_session_how_deeply_do_you_feel_you_understand_anxiety_disorders,ExAnSt28_If_the_information_provided_in_this_education_session_was_publicly_known_how_willing_do_you_think_people_would_be_to_seek_psychiatric_help_for_anxiety,Attention2_If_you_are_paying_attention_to_this_questionnaire_please_select_option_2,EBQ21_Once_people_are_experiencing_negative_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ22_People_cannot_control_their_positive_emotions,EBQ23_There_is_very_little_use_for_negative_emotions,EBQ24_Positive_emotions_are_very_unhelpful_to_people,EBQ25_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_negative_emotions,EBQ26_People_cannot_learn_techniques_to_effectively_control_their_positive_emotions,EBQ27_People_dont_need_their_negative_emotions,EBQ28_There_is_very_little_use_for_positive_emotions,EBQ29_People_cannot_control_their_negative_emotions,EBQ210_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_positive_emotions,EBQ211_Negative_emotions_are_harmful,EBQ212_People_dont_need_their_positive_emotions,EBQ213_People_cannot_learn_techniques_to_effectively_control_their_negative_emotions,EBQ214_Once_people_are_experiencing_positive_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ215_The_presence_of_negative_emotions_is_a_bad_thing_for_people,EBQ216_Positive_emotions_are_harmful
Evo,Evo_10,1,Evo_10-27,100,2367,1,1,31,General Adult Psychiatry,ST4,1,5,5,1,2,5,5,6,5,6,6,5,2,5,6,2,2,3,2,1,3,2,2,1,3,3,3,1,2,3,3,1,continue,4,4,4,5,6,6,6,4,5,6,5,2,2,3,1,1,2,3,1,1,2,3,2,1,1,3,3,1
Evo,Evo_10,1,Evo_10-28,100,2378,1,1,33,Psychiatry general and older adult,St6,2,3,3,1,5,3,3,5,3,6,5,5,4,5,4,2,2,4,3,2,3,3,2,2,2,2,3,2,3,3,2,2,continue,3,3,4,5,4,5,5,3,3,5,5,2,3,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2
Evo,Evo_10,1,Evo_10-29,100,2352,1,1,35,GAP,ST4,2,3,2,3,2,5,6,3,6,6,5,7,4,5,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,continue,3,5,5,6,4,6,5,7,4,7,5,2,1,1,1,5,1,1,1,1,3,3,1,1,1,1,1,1
Evo,Evo_10,1,Evo_10-30,100,2346,1,1,35,Psychiatry,St4,1,5,6,2,3,6,6,4,6,4,5,5,2,4,5,2,3,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,continue,3,3,3,5,6,5,4,4,1,5,4,2,5,2,1,1,5,1,1,1,5,1,1,1,1,2,1,1
Evo,Evo_10,1,Evo_10-31,100,2402,1,1,32,OA/ GA psychiatry,ST6,2,3,5,2,3,5,3,2,5,5,5,4,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,continue,4,5,5,5,5,6,5,4,4,6,6,2,3,3,2,2,3,3,2,2,3,3,4,3,3,3,3,3
Evo,Evo_10,1,Evo_10-32,100,2417,1,1,31,psychiatry general adult,ST4,2,2,5,1,1,5,3,2,7,7,5,7,4,5,3,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,5,5,4,7,7,7,6,7,4,6,7,2,1,5,1,1,1,1,1,1,1,1,3,1,1,5,2,1
Evo,Evo_10,1,Evo_10-33,100,2426,1,1,39,Forensic psychiatry,St4,2,5,3,2,3,5,5,4,5,4,5,5,5,5,3,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3,3,continue,5,4,4,3,5,5,6,5,5,5,4,2,2,2,2,2,3,3,2,2,2,2,5,2,3,2,6,5
Evo,Evo_10,1,Evo_10-34,100,2440,1,1,33,General adult psych,St4,2,5,5,1,1,5,6,6,4,6,5,5,1,5,3,2,2,2,3,1,1,1,1,1,2,1,3,3,1,3,3,3,continue,4,4,2,7,4,6,6,6,6,7,4,2,2,2,2,2,2,2,3,2,3,2,3,3,3,3,6,1
Evo,Evo_10,1,Evo_10-35,0,63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-36,14,67,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-37,7,83,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-38,21,79,0,1,30,Old age,St5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-39,7,17,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-40,14,201,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-41,42,238,0,1,36,GA,St6,2,2,2,5,3,2,2,3,5,6,5,6,4,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-42,42,256,0,1,39,GA & OA Psychiatry,ST6,1,5,5,2,2,2,5,4,4,6,4,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-43,42,322,0,1,37,Old age psychiatry,ACL,1,3,3,1,2,6,1,5,2,4,5,3,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-44,62,358,0,1,34,General Adult and Older Adult Psychiatry,ST6,2,3,3,3,3,3,3,4,4,4,4,5,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-45,14,198,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-46,68,2101,0,1,36,Forensic Psychiatry,ST4,1,5,6,2,1,6,6,3,5,6,6,5,6,5,5,2,2,2,2,2,3,2,2,2,2,2,4,3,3,2,3,3,continue,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-47,68,2195,0,2,31,Psych,5,1,2,2,2,2,3,3,4,3,5,5,5,5,4,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,continue,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-48,80,2242,0,1,45,Gen adult psych,ST5,2,3,3,3,2,5,5,3,4,3,3,4,4,5,4,2,4,5,4,2,3,3,2,2,3,4,2,2,5,4,2,2,continue,3,4,4,4,4,4,4,4,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_10,1,Evo_10-49,42,30048,0,1,53,Psychiatry,ST6,1,3,3,2,2,5,2,4,6,5,5,5,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_11,1,Evo_11-1,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_11,1,Evo_11-2,100,2982,1,1,34,Learning disability psychiatry,ST5,2,3,5,2,2,5,3,5,5,7,5,2,5,4,5,2,2,2,2,2,2,2,1,1,3,3,1,1,1,1,1,1,continue,3,3,3,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2
Evo,Evo_11,1,Evo_11-3,21,284,0,2,44,Psychiatrist,ST4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_11,1,Evo_11-4,7,400,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_11,1,Evo_11-5,80,4248,0,1,40,CAMHS,ST4,1,6,6,1,1,6,6,6,5,5,7,6,2,5,4,2,1,1,1,1,2,2,1,1,2,1,4,2,1,2,2,3,continue,4,4,5,6,4,5,6,5,5,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-1,100,2008,1,1,38,O.A/G.A Psychiatry,ST5,2,5,5,1,1,5,5,5,5,6,7,7,7,6,4,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,continue,5,5,5,4,5,7,6,7,7,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_2,0,Evo_2-2,100,2086,1,1,40,general adult /old age psychiatry,higher trainee,2,3,5,1,1,6,3,7,6,7,7,5,1,5,6,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,continue,3,NA,3,7,6,6,5,6,6,5,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_2,0,Evo_2-3,100,2125,1,1,38,general adult psychiatry,ST5,2,3,3,3,3,3,3,6,4,7,7,7,3,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,3,2,2,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_2,0,Evo_2-4,100,2317,1,1,xx,general adult psychiatry,st5,1,3,3,3,3,3,3,4,4,6,6,6,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,continue,4,4,4,4,4,4,4,4,4,4,6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Evo,Evo_2,0,Evo_2-5,100,933,1,1,43,Psychiatry,ST4,1,3,5,2,2,5,5,5,6,5,5,5,5,5,5,2,1,5,1,1,1,3,1,1,5,1,1,1,2,1,1,1,continue,4,5,5,5,6,5,5,6,4,6,6,2,1,4,1,1,1,3,1,1,4,1,1,1,3,1,1,1
Evo,Evo_2,0,Evo_2-6,100,8227,1,1,47,Psychiatry,ST7,2,2,5,1,2,5,5,3,4,7,7,4,4,5,5,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,3,4,4,5,5,4,7,7,6,5,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_2,0,Evo_2-7,1,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-8,7,33,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-9,1,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-10,7,79,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-11,7,168,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-12,1,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-13,42,321,0,1,40,Psych,St7,2,5,3,3,3,5,3,5,5,5,6,4,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-14,7,1798,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-15,1,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-16,62,2075,0,1,39,Psychiatry,ST5,2,1,3,6,5,1,2,5,6,6,6,4,2,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-17,80,2140,0,1,37,Psychiatry,"Higher training,  registrar",2,1,3,3,6,3,3,5,5,6,5,5,4,6,5,2,1,4,3,1,1,4,1,1,1,4,1,1,1,4,1,1,continue,3,3,3,5,5,5,5,5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-18,80,582,0,2,35,general adult psychiatry,ST4,2,3,5,2,1,3,3,6,4,6,6,3,2,5,4,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,continue,3,4,4,6,4,6,6,3,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-19,1,4001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-20,7,99888,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-21,1,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-22,1,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-23,1,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-24,0,69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_2,0,Evo_2-25,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evo,Evo_3,0,Evo_3-1,100,2405,1,1,36,Gen and old age psychiatry,ST5,2,3,5,2,2,2,5,6,6,7,7,7,4,5,3,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,continue,4,5,5,7,6,7,7,6,7,7,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_3,0,Evo_3-2,100,2400,1,1,41,Psyciatry,ST6,2,3,5,2,2,5,3,4,6,7,5,2,2,4,5,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,continue,5,5,5,6,6,6,6,6,6,6,5,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,2,1
Evo,Evo_3,0,Evo_3-3,100,2883,1,1,32,Psychiatry,ST6,2,3,2,2,5,5,3,5,6,7,7,7,6,6,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,4,4,5,5,6,7,6,4,5,6,6,2,4,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1
Evo,Evo_3,0,Evo_3-4,100,2706,1,2,50,Psychiatrist,Sas,2,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,2,3,4,3,3,3,4,5,5,5,2,3,5,3,2,3,continue,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3
Evo,Evo_3,0,Evo_3-5,100,2784,1,1,30,Psychiatry,Core Trainee,1,1,2,3,6,3,5,5,5,5,5,7,4,2,2,2,5,5,1,1,3,3,1,1,6,6,4,3,1,1,1,1,continue,3,5,5,6,4,6,6,5,5,4,3,2,4,4,4,1,3,1,1,1,6,5,3,1,3,5,1,1
