EduType,SessionID,Delivery,ParticipantID,Progress_Progress,Duration_in_seconds_Duration_in_seconds,Q31_I_consent_to_the_University_processing_my_personal_data_for_the_purposes_detailed_above,Q4_Age,Q5_Specialisation,Q8_Stage_of_training__position,Q7_Gender,NFC1_I_would_prefer_complex_to_simple_problems,NFC2_I_like_to_have_the_responsibility_of_handling_a_situation_that_requires_a_lot_of_thinking,NFC3r_Thinking_is_not_my_idea_of_fun,NFC4r_I_would_rather_do_something_that_requires_little_thought_than_something_that_is_sure_to_challenge_my_thinking_abilities,NFC5_I_really_enjoy_a_task_that_involves_coming_up_with_new_solutions_to_problems,NFC6_I_would_prefer_a_task_that_is_intellectual_difficult_and_important_to_one_that_is_somewhat_important_but_does_not_require_much_thought,ExAnSt1_Given_your_current_understanding_how_optimistic_are_you_about_improvement_in_symptoms_in_patients_presenting_with_anxiety_disorder,ExAnSt2_Given_your_current_understanding_how_willing_do_you_think_patients_would_be_to_share_anxiety_disorder_diagnoses,ExAnSt3_Given_your_current_understanding_how_effective_do_you_think_a_combination_of_medication_and_psychotherapy_will_be_to_improve_outcomes_in_anxiety_disorder,ExAnSt4_Given_your_current_understanding_how_effective_do_you_think_psychosocial_interventions_will_be_in_improving_outcomes_in_anxiety_disorder,ExAnSt5_Given_your_current_understanding_how_strong_a_role_do_individuals_have_to_instigate_or_mitigate_their_anxiety,ExAnSt6_Given_your_current_understanding_how_unchangeable_are_an_individuals_anxiety_symptoms,ExAnSt7_Given_your_current_understanding_how_deeply_do_you_feel_you_understand_anxiety_disorders,ExAnSt8_Given_current_public_knowledge_of_anxiety_how_willing_do_you_think_people_are_to_seek_psychiatric_help_for_anxiety,Attention1_If_you_are_paying_attention_to_this_questionnaire_please_select_option_2,EBQ1_Once_people_are_experiencing_negative_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ2_People_cannot_control_their_positive_emotions,EBQ3_There_is_very_little_use_for_negative_emotions,EBQ4_Positive_emotions_are_very_unhelpful_to_people,EBQ5_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_negative_emotions,EBQ6_People_cannot_learn_techniques_to_effectively_control_their_positive_emotions,EBQ7_People_dont_need_their_negative_emotions,EBQ8_There_is_very_little_use_for_positive_emotions,EBQ9_People_cannot_control_their_negative_emotions,EBQ10_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_positive_emotions,EBQ11_Negative_emotions_are_harmful,EBQ12_People_dont_need_their_positive_emotions,EBQ13_People_cannot_learn_techniques_to_effectively_control_their_negative_emotions,EBQ14_Once_people_are_experiencing_positive_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ15_The_presence_of_negative_emotions_is_a_bad_thing_for_people,EBQ16_Positive_emotions_are_harmful,password_continue_Please_enter_the_password_here,Q38_How_would_you_rate_your_comprehension_of_the_presentation,Q88_Do_you_think_this_information_is_useful_for_patients,Q90_Do_you_think_this_information_is_useful_for_clinicians,ExAnSt21_Given_the_information_provided_in_this_education_session_how_optimistic_are_you_about_improvement_in_symptoms_in_patients_presenting_with_anxiety_disorder,ExAnSt22_Given_the_information_provided_in_this_education_session_how_willing_do_you_think_patients_would_be_to_share_anxiety_disorder_diagnoses,ExAnSt23_Given_the_information_provided_in_this_education_session_how_effective_do_you_think_a_combination_of_medication_and_psychotherapy_will_be_to_improve_outcomes_in_anxiety_disorder,ExAnSt24_Given_the_information_provided_in_this_education_session_how_effective_do_you_think_psychosocial_interventions_will_be_in_improving_outcomes_in_anxiety_disorder,ExAnSt25_Given_the_information_provided_in_this_education_session_how_strong_a_role_do_individuals_have_to_instigate_or_mitigate_their_anxiety,ExAnSt26_Given_the_information_provided_in_this_education_session_how_unchangeable_are_an_individuals_anxiety_symptoms,ExAnSt27_Given_the_information_provided_in_this_education_session_how_deeply_do_you_feel_you_understand_anxiety_disorders,ExAnSt28_If_the_information_provided_in_this_education_session_was_publicly_known_how_willing_do_you_think_people_would_be_to_seek_psychiatric_help_for_anxiety,Attention2_If_you_are_paying_attention_to_this_questionnaire_please_select_option_2,EBQ21_Once_people_are_experiencing_negative_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ22_People_cannot_control_their_positive_emotions,EBQ23_There_is_very_little_use_for_negative_emotions,EBQ24_Positive_emotions_are_very_unhelpful_to_people,EBQ25_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_negative_emotions,EBQ26_People_cannot_learn_techniques_to_effectively_control_their_positive_emotions,EBQ27_People_dont_need_their_negative_emotions,EBQ28_There_is_very_little_use_for_positive_emotions,EBQ29_People_cannot_control_their_negative_emotions,EBQ210_It_doesnt_matter_how_hard_people_try_they_cannot_change_their_positive_emotions,EBQ211_Negative_emotions_are_harmful,EBQ212_People_dont_need_their_positive_emotions,EBQ213_People_cannot_learn_techniques_to_effectively_control_their_negative_emotions,EBQ214_Once_people_are_experiencing_positive_emotions_there_is_nothing_they_can_do_about_modifying_them,EBQ215_The_presence_of_negative_emotions_is_a_bad_thing_for_people,EBQ216_Positive_emotions_are_harmful
Evo,Evo_10,1,Evo_10-10,100,2266,1,32,General Adult,ST4,2,1,1,6,6,6,1,5,7,7,5,7,4,4,3,2,1,5,3,1,6,1,1,1,1,1,7,1,1,1,7,3,continue,2,2,3,4,4,4,4,4,5,5,4,2,4,5,5,1,6,3,5,4,4,3,7,1,2,3,7,3
Evo,Evo_10,1,Evo_10-11,100,2221,1,30,Psychiatry,St4,2,5,5,2,2,5,5,4,3,5,5,5,2,4,3,2,2,3,1,1,2,2,1,1,2,2,1,1,2,2,1,1,continue,4,4,4,5,3,5,4,4,2,5,4,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1
Evo,Evo_10,1,Evo_10-12,100,2294,1,34,Psychiatrist,ST5,2,3,5,2,3,3,5,5,7,5,5,6,5,5,5,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,continue,5,4,5,6,7,6,6,7,7,6,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_10,1,Evo_10-13,100,2298,1,34,Psychiatry,ST4,4,3,3,3,3,6,3,6,5,6,5,3,5,4,6,2,2,3,2,6,2,1,2,2,3,3,2,2,2,2,2,2,continue,4,3,4,2,6,6,6,4,2,4,4,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
Evo,Evo_10,1,Evo_10-14,100,2307,1,34,Doctor,St5,1,3,5,2,2,3,5,4,4,4,4,4,4,4,4,2,3,3,1,1,3,2,1,1,3,3,2,2,3,3,3,3,continue,3,2,4,4,4,4,4,4,4,4,4,2,3,3,1,1,3,3,1,1,1,3,3,3,3,3,3,3
Evo,Evo_10,1,Evo_10-15,100,2311,1,30,General Adult Psychiatry,ST4,2,3,3,2,1,3,6,6,3,7,6,6,3,5,4,2,2,1,1,1,1,2,1,1,2,1,4,1,1,1,4,3,continue,4,5,5,7,4,7,6,7,6,6,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_10,1,Evo_10-16,100,2313,1,34,Old age psychiatry,St6,2,2,2,3,3,3,2,4,6,6,5,6,3,4,6,2,1,2,2,4,3,3,3,3,2,2,5,2,3,2,6,1,continue,3,4,4,4,6,6,5,5,3,5,7,2,2,2,2,6,2,3,4,2,2,2,6,1,2,3,5,2
Evo,Evo_10,1,Evo_10-17,100,2317,1,39,General adult psychiatry,St6-acting up,2,3,5,2,5,5,5,5,5,7,7,5,3,7,5,2,2,2,3,1,2,1,2,1,2,1,3,1,1,3,3,1,continue,3,2,3,5,5,7,5,5,5,5,5,2,2,2,2,1,2,2,2,1,2,2,3,1,2,2,3,1
Evo,Evo_10,1,Evo_10-19,100,2315,1,42,General Adult Psychiatry,ST4,1,2,3,1,5,5,3,5,4,6,7,7,4,4,3,2,3,3,2,2,2,3,2,1,2,2,4,2,2,2,4,2,continue,3,5,5,5,5,7,6,5,5,5,4,2,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1
Evo,Evo_10,1,Evo_10-20,100,2242,1,31,Gen adult,ST4,1,1,3,1,1,6,5,4,7,4,6,6,4,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,4,4,4,4,6,4,6,7,5,6,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_10,1,Evo_10-21,100,2343,1,31,GA Psych,ST4,1,6,6,1,1,6,6,5,5,6,4,7,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,4,4,5,4,6,7,4,5,6,4,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_10,1,Evo_10-22,100,2344,1,31,General adult psychiatry,ST4,2,1,1,6,6,1,1,3,3,4,4,3,3,4,3,2,1,1,2,1,1,1,1,1,1,1,3,1,1,1,2,1,continue,4,5,5,4,3,4,4,3,4,4,4,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1
Evo,Evo_10,1,Evo_10-23,100,2345,1,32,Old age psychiatry,St4,2,5,5,3,3,3,1,5,3,6,6,2,2,4,4,2,1,2,3,1,2,1,2,1,5,2,4,2,2,2,2,1,continue,4,3,3,5,4,5,4,2,3,4,4,2,2,2,3,1,1,1,1,1,2,2,2,1,1,1,2,1
Evo,Evo_10,1,Evo_10-24,100,2358,1,33,General Adult Psychiatry,Registrar,2,3,3,2,2,2,3,3,3,6,6,5,5,3,4,2,3,2,3,1,3,2,2,3,3,3,3,3,1,2,3,1,continue,4,5,4,4,4,6,4,5,4,4,4,2,3,3,1,5,3,3,2,2,3,3,2,2,3,3,4,1
Evo,Evo_10,1,Evo_10-25,100,2356,1,34,general adult,st5,2,5,5,1,2,6,6,5,5,5,4,4,2,3,4,2,3,6,3,1,3,4,2,1,3,6,2,1,2,3,3,1,continue,5,5,5,6,4,6,5,4,3,5,6,2,3,5,1,1,3,3,1,1,5,5,2,1,3,3,1,1
Evo,Evo_10,1,Evo_10-26,100,2360,1,31,Psychiatry,St4,1,6,3,1,1,6,1,6,7,6,5,6,2,5,6,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,continue,4,4,5,6,5,5,5,4,5,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_10,1,Evo_10-27,100,2367,1,31,General Adult Psychiatry,ST4,1,5,5,1,2,5,5,6,5,6,6,5,2,5,6,2,2,3,2,1,3,2,2,1,3,3,3,1,2,3,3,1,continue,4,4,4,5,6,6,6,4,5,6,5,2,2,3,1,1,2,3,1,1,2,3,2,1,1,3,3,1
Evo,Evo_10,1,Evo_10-28,100,2378,1,33,Psychiatry general and older adult,St6,2,3,3,1,5,3,3,5,3,6,5,5,4,5,4,2,2,4,3,2,3,3,2,2,2,2,3,2,3,3,2,2,continue,3,3,4,5,4,5,5,3,3,5,5,2,3,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2
Evo,Evo_10,1,Evo_10-29,100,2352,1,35,GAP,ST4,2,3,2,3,2,5,6,3,6,6,5,7,4,5,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,continue,3,5,5,6,4,6,5,7,4,7,5,2,1,1,1,5,1,1,1,1,3,3,1,1,1,1,1,1
Evo,Evo_10,1,Evo_10-30,100,2346,1,35,Psychiatry,St4,1,5,6,2,3,6,6,4,6,4,5,5,2,4,5,2,3,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,continue,3,3,3,5,6,5,4,4,1,5,4,2,5,2,1,1,5,1,1,1,5,1,1,1,1,2,1,1
Evo,Evo_10,1,Evo_10-31,100,2402,1,32,OA/ GA psychiatry,ST6,2,3,5,2,3,5,3,2,5,5,5,4,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,continue,4,5,5,5,5,6,5,4,4,6,6,2,3,3,2,2,3,3,2,2,3,3,4,3,3,3,3,3
Evo,Evo_10,1,Evo_10-32,100,2417,1,31,psychiatry general adult,ST4,2,2,5,1,1,5,3,2,7,7,5,7,4,5,3,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,5,5,4,7,7,7,6,7,4,6,7,2,1,5,1,1,1,1,1,1,1,1,3,1,1,5,2,1
Evo,Evo_10,1,Evo_10-33,100,2426,1,39,Forensic psychiatry,St4,2,5,3,2,3,5,5,4,5,4,5,5,5,5,3,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,3,3,continue,5,4,4,3,5,5,6,5,5,5,4,2,2,2,2,2,3,3,2,2,2,2,5,2,3,2,6,5
Evo,Evo_10,1,Evo_10-34,100,2440,1,33,General adult psych,St4,2,5,5,1,1,5,6,6,4,6,5,5,1,5,3,2,2,2,3,1,1,1,1,1,2,1,3,3,1,3,3,3,continue,4,4,2,7,4,6,6,6,6,7,4,2,2,2,2,2,2,2,3,2,3,2,3,3,3,3,6,1
Evo,Evo_2,0,Evo_2-1,100,2008,1,38,O.A/G.A Psychiatry,ST5,2,5,5,1,1,5,5,5,5,6,7,7,7,6,4,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,continue,5,5,5,4,5,7,6,7,7,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_2,0,Evo_2-2,100,2086,1,40,general adult /old age psychiatry,higher trainee,2,3,5,1,1,6,3,7,6,7,7,5,1,5,6,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,continue,3,NA,3,7,6,6,5,6,6,5,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_2,0,Evo_2-3,100,2125,1,38,general adult psychiatry,ST5,2,3,3,3,3,3,3,6,4,7,7,7,3,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,3,2,2,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_2,0,Evo_2-4,100,2317,1,xx,general adult psychiatry,st5,1,3,3,3,3,3,3,4,4,6,6,6,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,continue,4,4,4,4,4,4,4,4,4,4,6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Evo,Evo_2,0,Evo_2-5,100,933,1,43,Psychiatry,ST4,1,3,5,2,2,5,5,5,6,5,5,5,5,5,5,2,1,5,1,1,1,3,1,1,5,1,1,1,2,1,1,1,continue,4,5,5,5,6,5,5,6,4,6,6,2,1,4,1,1,1,3,1,1,4,1,1,1,3,1,1,1
Evo,Evo_2,0,Evo_2-6,100,8227,1,47,Psychiatry,ST7,2,2,5,1,2,5,5,3,4,7,7,4,4,5,5,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,3,4,4,5,5,4,7,7,6,5,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_3,0,Evo_3-1,100,2405,1,36,Gen and old age psychiatry,ST5,2,3,5,2,2,2,5,6,6,7,7,7,4,5,3,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,continue,4,5,5,7,6,7,7,6,7,7,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_3,0,Evo_3-2,100,2400,1,41,Psyciatry,ST6,2,3,5,2,2,5,3,4,6,7,5,2,2,4,5,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,continue,5,5,5,6,6,6,6,6,6,6,5,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,2,1
Evo,Evo_3,0,Evo_3-3,100,2883,1,32,Psychiatry,ST6,2,3,2,2,5,5,3,5,6,7,7,7,6,6,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,4,4,5,5,6,7,6,4,5,6,6,2,4,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1
Evo,Evo_3,0,Evo_3-5,100,2784,1,30,Psychiatry,Core Trainee,1,1,2,3,6,3,5,5,5,5,5,7,4,2,2,2,5,5,1,1,3,3,1,1,6,6,4,3,1,1,1,1,continue,3,5,5,6,4,6,6,5,5,4,3,2,4,4,4,1,3,1,1,1,6,5,3,1,3,5,1,1
Evo,Evo_3,0,Evo_3-6,100,3037,1,30,Psychiatry,CT3,2,1,1,1,1,6,1,5,2,7,7,6,3,4,4,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,continue,3,4,4,5,4,7,7,7,6,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_3,0,Evo_3-7,100,3216,1,29,Psychiatry,Specialty Doctor,2,2,6,1,1,5,2,6,5,7,6,6,4,4,2,2,3,3,1,1,1,4,1,2,4,4,1,4,1,2,1,4,continue,4,2,3,4,4,3,5,4,6,4,5,2,4,4,1,4,4,1,1,4,4,4,1,4,1,4,1,4
Evo,Evo_4,1,Evo_4-3,100,3168,1,56,Psychiatry of Later Life,Independent Consultant,1,6,3,1,1,6,5,7,4,7,7,5,1,6,5,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,continue,4,5,5,7,5,5,7,7,7,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Evo,Evo_4,1,Evo_4-4,100,3310,1,36,Psychiatry,Registrar,1,3,3,3,2,6,3,5,4,7,5,6,4,4,6,2,4,4,4,4,4,4,4,4,4,1,4,1,1,1,1,1,continue,3,3,4,6,6,7,5,5,6,5,6,2,2,2,3,2,1,1,3,1,2,2,3,2,2,2,2,2
Evo,Evo_4,1,Evo_4-6,100,3667,1,50,General Adult Psychiatry,Consultant,1,3,3,3,3,3,3,6,5,6,4,5,5,6,6,2,1,1,2,1,1,1,1,1,1,1,3,1,1,2,2,2,continue,5,5,5,7,7,7,7,7,7,7,7,2,1,1,3,1,1,1,1,1,1,1,2,1,1,7,2,1
